author,date,topic,doc_nb,word_nb,char_nb,doc_ids
Caroline Lucas,2016-09-07,P7,2.391304e-02,   2.5108696,   15.567391,
Caroline Lucas,2016-09-07,P8,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,2016-09-07,P9,2.173913e-03,   0.2282609,    1.415217,
Cat Smith,2016-02-11,P1,2.100000e-01,   4.2000000,   28.560000,
Cat Smith,2016-02-11,P10,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,2016-02-11,P2,1.100000e-01,   2.2000000,   14.960000,
Cat Smith,2016-02-11,P3,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,2016-02-11,P4,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,2016-02-11,P5,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,2016-02-11,P6,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,2016-02-11,P7,3.100000e-01,   6.2000000,   42.160000,uk.org.publicwhip/debate/2016-02-11c.1727.7
Cat Smith,2016-02-11,P8,3.100000e-01,   6.2000000,   42.160000,
Cat Smith,2016-02-11,P9,1.000000e-02,   0.2000000,    1.360000,
Cheryl Gillan,2017-01-31,P1,2.873563e-04,   0.2428161,    1.398563,
Cheryl Gillan,2017-01-31,P10,5.778736e-01, 488.3031609, 2812.510632,uk.org.publicwhip/debate/2017-01-31c.845.1
Cheryl Gillan,2017-01-31,P2,2.873563e-04,   0.2428161,    1.398563,
Cheryl Gillan,2017-01-31,P3,8.908046e-03,   7.5272989,   43.355460,
Cheryl Gillan,2017-01-31,P4,7.212644e-02,  60.9468391,  351.039368,
Cheryl Gillan,2017-01-31,P5,1.899425e-01, 160.5014368,  924.450287,
Cheryl Gillan,2017-01-31,P6,2.873563e-04,   0.2428161,    1.398563,
Cheryl Gillan,2017-01-31,P7,1.353448e-01, 114.3663793,  658.723276,
Cheryl Gillan,2017-01-31,P8,8.908046e-03,   7.5272989,   43.355460,
Cheryl Gillan,2017-01-31,P9,6.034483e-03,   5.0991379,   29.369828,
Chi Onwurah,2019-02-12,P1,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,2019-02-12,P10,3.725806e-01,  47.3177419,  277.200000,uk.org.publicwhip/debate/2019-02-12c.721.5
Chi Onwurah,2019-02-12,P2,2.274194e-01,  28.8822581,  169.200000,
Chi Onwurah,2019-02-12,P3,1.145161e-01,  14.5435484,   85.200000,
Chi Onwurah,2019-02-12,P4,2.435484e-01,  30.9306452,  181.200000,
Chi Onwurah,2019-02-12,P5,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,2019-02-12,P6,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,2019-02-12,P7,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,2019-02-12,P8,3.387097e-02,   4.3016129,   25.200000,
Chi Onwurah,2019-02-12,P9,1.612903e-03,   0.2048387,    1.200000,
Chris Matheson,2019-05-21,P1,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,2019-05-21,P10,2.369942e-02,   8.7450867,   55.172254,
Chris Matheson,2019-05-21,P2,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,2019-05-21,P3,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,2019-05-21,P4,1.335260e-01,  49.2710983,  310.848555,
Chris Matheson,2019-05-21,P5,1.335260e-01,  49.2710983,  310.848555,
Chris Matheson,2019-05-21,P6,2.317919e-01,  85.5312139,  539.611561,
Chris Matheson,2019-05-21,P7,3.300578e-01, 121.7913295,  768.374566,uk.org.publicwhip/debate/2019-05-21a.650.1
